Kind of Business,Apr.2020,May.2020,Jun.2020,Apr.2019,May.2019,Jun.2019,Apr.change,May.change,Jun.change
Building mat. and garden equip. and supplies dealers,36783,43298,43165,35122,38372,34575,0.047292295,0.128374857,0.248445409
"Beer, wine, and liquor stores",5211,6263,6078,4580,5109,5011,0.137772926,0.225875905,0.212931551
Electronic shopping and mail-order houses,69952,76336,74335,54612,58855,54928,0.280890647,0.297018095,0.35331707
